text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens
status change (),1,1.1459079136819057,0.0,1.1459079136819057,0.24853515625,2.254174081079764,3
", who came in 1",1,1.1448343018847889,0.0,1.1448343018847889,0.637451171875,1.800013000805722,5
trafficked,1,1.144809558805505,0.0,1.144809558805505,0.22314453125,2.379113740763762,1
the Emir who imprisoned,1,1.144788913667682,0.0,1.144788913667682,0.41015625,2.0975679872942052,4
Ten locomotives,1,1.1447244567989703,0.0,1.1447244567989703,0.392578125,2.1036324310599257,2
bowstring' girder,1,1.1431632036561334,0.0,1.1431632036561334,0.2021484375,2.3392312513278335,2
2008 Kontour,1,1.1429277301408283,0.0,1.1429277301408283,0.361328125,2.1334423722270706,2
", Arkansas, in 1",1,1.1424452959274138,0.0,1.1424452959274138,0.54931640625,1.8454931226310345,4
The Independent said Greene,1,1.14118180410382,0.0,1.14118180410382,0.3916015625,2.07963908057205,4
left for Beijing on September,1,1.1400026879957643,0.0,1.1400026879957643,0.731201171875,1.7190252746769104,5
of duty with the Canadian,1,1.1390802945212521,0.0,1.1390802945212521,0.31201171875,2.2021929238031306,5
abeba symbolizes,1,1.1381833670474506,0.0,1.1381833670474506,0.47900390625,2.010985761368626,2
prequel and part,1,1.1380929457600881,0.0,1.1380929457600881,0.57080078125,1.7921165196736575,3
aceous perennials,1,1.1377741308001597,0.0,1.1377741308001597,0.3466796875,2.209669702000399,2
rhizome,1,1.1377018053268337,0.0,1.1377018053268337,0.32275390625,2.2486734586295842,1
. Marsh after 1,1,1.1372708441021055,0.0,1.1372708441021055,0.47802734375,2.048865586817764,4
state of mind.,1,1.1369675326295159,0.0,1.1369675326295159,0.55126953125,1.8204003989566024,3
Punishments,1,1.1367050921278967,0.0,1.1367050921278967,0.507080078125,1.9425928084447415,1
984 Fresno,1,1.1365884672159368,0.0,1.1365884672159368,0.3330078125,2.1294350352273415,2
xton could be:,1,1.135995656445735,0.0,1.135995656445735,0.506103515625,1.8679127250987122,3
to one of two District,1,1.1356768679535971,0.0,1.1356768679535971,0.482421875,1.9970290839464928,5
wore Black and White jerse,1,1.1354766608604694,0.0,1.1354766608604694,0.55224609375,1.8610305193386731,5
", and became a McDonald'",1,1.1351618037967646,0.0,1.1351618037967646,0.541259765625,1.846602019257536,5
"Norway. The 5,",1,1.1344043880262273,0.0,1.1344043880262273,0.50390625,1.9586916341280682,3
Fargo. It manufactures,1,1.1332629853234457,0.0,1.1332629853234457,0.4365234375,2.032254142996114,3
–Moorhead,1,1.1315326072749379,0.0,1.1315326072749379,0.3828125,2.1708725338123447,1
apsing inwards.,1,1.1312620777909208,0.0,1.1312620777909208,0.55419921875,1.8643490421335516,2
wemwenikarawa,1,1.1309324805145584,0.0,1.1309324805145584,0.698486328125,1.770324365348896,1
"short, curved tip.",1,1.1309152498097983,0.0,1.1309152498097983,0.4970703125,2.021501991711996,3
Verhältnis,1,1.128120217010013,0.0,1.128120217010013,0.3271484375,2.161120855025033,1
gun forward position),1,1.1271104381148074,0.0,1.1271104381148074,0.49853515625,1.9577907437245181,3
(CPS).,1,1.1269750192983081,0.0,1.1269750192983081,0.20458984375,2.153527636136395,1
to yellow and hairy.,1,1.1259370409588305,0.0,1.1259370409588305,0.39404296875,2.1046375242720763,4
on Friday evenings,1,1.1256176999943104,0.0,1.1256176999943104,0.185546875,2.3747131952982756,3
ipelagos,1,1.1252437777898296,0.0,1.1252437777898296,0.44140625,1.976927803849574,1
-round,1,1.1251989579351656,0.0,1.1251989579351656,0.27490234375,2.1672454417129137,1
scheme was proposed in,1,1.124912320914191,0.0,1.124912320914191,0.4892578125,1.984644083535477,4
alympic swimmers,1,1.1247854989530808,0.0,1.1247854989530808,0.55712890625,1.8860604270702015,2
played 29 March,1,1.1227923964040512,0.0,1.1227923964040512,0.38720703125,1.9647263523382525,3
1979.,1,1.1226300665636688,0.0,1.1226300665636688,0.3974609375,1.9331468216826098,1
and serves as the home of,1,1.1225091414134274,0.0,1.1225091414134274,0.31298828125,2.136350978533568,6
Moorhead,2,1.1221466433851925,0.028825123656856078,1.1509717670420485,0.39306640625,2.119880768619231,1
asylums,1,1.121819002518151,0.0,1.121819002518151,0.2734375,2.249249654732877,1
Arkansas Tech University in 1,1,1.1217884795047153,0.0,1.1217884795047153,0.592529296875,1.7689792554024129,5
(7)-manifold,1,1.1209796572304476,0.0,1.1209796572304476,0.47607421875,1.9010819555761187,1
yon californicum,1,1.1208936389176196,0.0,1.1208936389176196,0.4716796875,1.944018765262799,2
: 7.9%),1,1.1203568007367088,0.0,1.1203568007367088,0.50390625,1.9280892674667722,2
hot-rodded,1,1.1202292305109498,0.0,1.1202292305109498,0.48291015625,1.9886834278398742,1
to wait until 1,1,1.1175207714503048,0.0,1.1175207714503048,0.45556640625,1.9611603270632618,4
atelist and philanthrop,1,1.1174895830082492,0.0,1.1174895830082492,0.40771484375,1.9483870434581225,3
has a slate roof.,1,1.117157650019262,0.0,1.117157650019262,0.44970703125,2.1176011562981545,4
forums were prefaced,1,1.1167088918470718,0.0,1.1167088918470718,0.2099609375,2.2153562139926795,3
94 with the acclaimed,1,1.1156572504059943,0.0,1.1156572504059943,0.18701171875,2.1404004502337357,4
"Air Arm, equipping",1,1.114358897004963,0.0,1.114358897004963,0.29150390625,2.115426051106157,3
causes massive tumors.,1,1.1137372952096793,0.0,1.1137372952096793,0.73046875,1.6266283942741981,3
began as an outdoor hearth,1,1.1134413353036499,0.0,1.1134413353036499,0.287109375,2.1564060726341245,5
Pro Co's Kalamaz,1,1.1127222194433195,0.0,1.1127222194433195,0.51220703125,1.8189454411864232,3
of Catalonia,1,1.1122669299405101,0.0,1.1122669299405101,0.3017578125,2.1170931061012754,2
Entrance Examination,1,1.1117466966479201,0.0,1.1117466966479201,0.35009765625,2.1098110775573002,2
University's foundation in,1,1.1109162129283072,0.0,1.1109162129283072,0.49755859375,1.9859086963832682,3
Amfi (often called,1,1.11013821029301,0.0,1.11013821029301,0.28271484375,2.1498572444825244,3
7 to win the Beara,1,1.1080565898041503,0.0,1.1080565898041503,0.2021484375,2.219360224510376,5
one through four,1,1.107920844664806,0.0,1.107920844664806,0.21142578125,2.301174181974515,3
Jack Lenor Larsen,1,1.107901182977248,0.0,1.107901182977248,0.4208984375,1.95981643400562,3
for Nuclear Research,1,1.1074623420584353,0.0,1.1074623420584353,0.4453125,1.976419527021088,3
Jackie Burroughs,1,1.1072605473837365,0.0,1.1072605473837365,0.4345703125,1.9538203137718413,2
Inner Wound Recordings,1,1.1065366322688894,0.0,1.1065366322688894,0.265625,2.119002713484724,3
inyon-juniper,1,1.105942746844954,0.0,1.105942746844954,0.2666015625,2.242517999924885,1
High Energy Physics,1,1.1058248688044212,0.0,1.1058248688044212,0.30078125,2.1019645157610527,3
the spring semester.,1,1.1055845321417346,0.0,1.1055845321417346,0.59716796875,1.7501063498855864,3
"940, Puriri",1,1.1045223348751945,0.0,1.1045223348751945,0.33984375,2.0401144309379857,2
Belgian railway line,1,1.1031317287807387,0.0,1.1031317287807387,0.3857421875,2.0715500250768466,3
Hockey League (NHL).,1,1.1026583396415024,0.0,1.1026583396415024,0.34912109375,1.992180517072506,3
Beijings,1,1.1022599824699473,0.0,1.1022599824699473,0.33203125,2.1929058155498677,1
incumbent,1,1.1021855109590897,0.0,1.1021855109590897,0.3623046875,1.9836742266164744,1
Bidens macroptera,1,1.1021507688623016,0.0,1.1021507688623016,0.53564453125,1.867925750280754,2
Cruising Range,1,1.1013167925473804,0.0,1.1013167925473804,0.4560546875,1.9298056532434507,2
Francis Younghusband,1,1.1012571856649596,0.0,1.1012571856649596,0.52587890625,1.8225399368186486,2
midfielder,1,1.101172771819401,0.0,1.101172771819401,0.4638671875,1.9337180623610026,1
", found on POSIX",1,1.1005248698777972,0.0,1.1005248698777972,0.2626953125,2.146331705944493,4
removed during the George Floyd,1,1.1003320717587688,0.0,1.1003320717587688,0.3037109375,2.084814554396922,5
angustifolium,3,1.1002251564027938,0.07776714147274201,1.2008555504164653,0.6527506510416666,1.7561781253819848,1
inesweeping Flotilla,1,1.0993109695919443,0.0,1.0993109695919443,0.408203125,2.0041367989798604,2
Metro. It opened on,1,1.0973540176824257,0.0,1.0973540176824257,0.46337890625,1.9417493020185643,4
Jan Rombouts,1,1.0968870788690503,0.0,1.0968870788690503,0.3740234375,2.0281063690476255,2
von Winkelried,1,1.0955874992220005,0.0,1.0955874992220005,0.515380859375,1.8118447246175011,2
their parents and loved ones,1,1.0948100056154464,0.0,1.0948100056154464,0.2001953125,2.2470347796636156,5
of St George. Sweetapple,1,1.0947827698499497,0.0,1.0947827698499497,0.38330078125,1.938433975406124,4
Liebes as a weaver,1,1.094153254913095,0.0,1.094153254913095,0.22509765625,2.0901194654077373,4
Monique Rolland.,1,1.0941017678642135,0.0,1.0941017678642135,0.38232421875,1.9371587165355335,2
basin,1,1.0934209770695293,0.0,1.0934209770695293,0.2021484375,2.263703809861323,1
One test driver in 1,1,1.0927522443489102,0.0,1.0927522443489102,0.48583984375,1.931953853059775,5
ény was first mentioned in,1,1.092129537203596,0.0,1.092129537203596,0.44873046875,1.9877701320714898,5
G. Stavridis,1,1.091665214003577,0.0,1.091665214003577,0.60400390625,1.7666386209464426,2
új-Zemplén,1,1.0915404628013718,0.0,1.0915404628013718,0.36767578125,2.0783384616909295,1
hemian Baroque,2,1.0913742075941912,0.027785862372474268,1.1191600699666655,0.439208984375,1.8957633998448529,2
"Tranquil, Mississippi,",1,1.0912589602341103,0.0,1.0912589602341103,0.33447265625,1.9782084357415255,2
00 PM ET.,1,1.0909379037545603,0.0,1.0909379037545603,0.59326171875,1.6882212242301504,3
Acquapendente.,1,1.0908392169106764,0.0,1.0908392169106764,0.46826171875,1.8136153762610658,1
-Solway,1,1.0903882234155067,0.0,1.0903882234155067,0.48876953125,1.8410218280700161,1
group was announced in November,1,1.0901118617537813,0.0,1.0901118617537813,0.500244140625,1.8619984043844533,5
St. Cuthbert,1,1.089669700667495,0.0,1.089669700667495,0.50830078125,1.8595502282312368,2
Reinforcements,1,1.089426582840165,0.0,1.089426582840165,0.23193359375,2.2780098164754126,1
– 10 June,1,1.0893160316950983,0.0,1.0893160316950983,0.34228515625,2.0521475011127452,3
oietic stem cell,1,1.0886703930639348,0.0,1.0886703930639348,0.37890625,2.034664263909837,3
the loss of the liner,1,1.0883269904005644,0.0,1.0883269904005644,0.3330078125,2.0242842728764106,5
"odino, Khripach",1,1.088322156090494,0.0,1.088322156090494,0.41796875,1.84266207967936,2
chengen zone in,1,1.0883135653319709,0.0,1.0883135653319709,0.39111328125,2.0153395773924268,3
.96 mas,1,1.088079381513635,0.0,1.088079381513635,0.32958984375,2.0964191569090875,2
